v15.04    Планета: Уран  (INPOP13C)
          Спутник: U2 Умбриэль  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2010  1 27.000000    23.6426550785      -3.110755811  
2010  2  1.000000    23.6562367671      -3.025372163  
2010  2  6.000000    23.6706604088      -2.935130748  
2010  2 11.000000    23.6856912447      -2.833899383  
2010  2 16.000000    23.7012303766      -2.725155134  
2010  2 21.000000    23.7173411063      -2.617839279  
2010  2 26.000000    23.7340280394      -2.513965718  
2010  3  3.000000    23.7511017581      -2.406690533  
2010  3  8.000000    23.7683223453      -2.291118964  
2010  3 13.000000    23.7856111399      -2.172285291  
2010  3 18.000000    23.8030410557      -2.058731458  
2010  3 23.000000    23.8205992301      -1.950744637  
2010  3 28.000000    23.8380732879      -1.840958185  
2010  4  2.000000    23.8552257490      -1.725871594  
2010  4  7.000000    23.8720098135      -1.611839848  
2010  4 12.000000    23.8885181780      -1.506649928  
2010  4 17.000000    23.9047275188      -1.408799256  
2010  4 22.000000    23.9204098794      -1.310617794  
2010  4 27.000000    23.9353401252      -1.210130645  
2010  5  2.000000    23.9495110507      -1.114773229  
2010  5  7.000000    23.9630418371      -1.031245513  
2010  5 12.000000    23.9759003246      -0.956237645  
2010  5 17.000000    23.9878509342      -0.882040990  
2010  5 22.000000    23.9986940189      -0.808270807  
2010  5 27.000000     0.0084720511      -0.743190754  
2010  6  1.000000     0.0173316514      -0.692055131  
2010  6  6.000000     0.0252341996      -0.649832094  
2010  6 11.000000     0.0319475744      -0.609003102  
2010  6 16.000000     0.0373177400      -0.570818735  
2010  6 21.000000     0.0414481125      -0.543991315  
2010  6 26.000000     0.0445117024      -0.532043402  
2010  7  1.000000     0.0464676451      -0.528321775  
2010  7  6.000000     0.0471049928      -0.525771130  
2010  7 11.000000     0.0463402403      -0.527197194  
2010  7 16.000000     0.0443478265      -0.541328540  
2010  7 21.000000     0.0413243814      -0.569721173  
2010  7 26.000000     0.0372321447      -0.604275249  
2010  7 31.000000     0.0319040348      -0.638673756  
2010  8  5.000000     0.0253482250      -0.677133325  
2010  8 10.000000     0.0178145627      -0.727941082  
2010  8 15.000000     0.0095125885      -0.790525486  
2010  8 20.000000     0.0004118332      -0.855696155  
2010  8 25.000000    23.9904058113      -0.918130838  
2010  8 30.000000    23.9796022787      -0.983317029  
2010  9  4.000000    23.9683112113      -1.058661741  
2010  9  9.000000    23.9567360109      -1.141531800  
2010  9 14.000000    23.9448457004      -1.222134977  
2010  9 19.000000    23.9325954009      -1.296509477  
2010  9 24.000000    23.9201749553      -1.371221048  
2010  9 29.000000    23.9079166656      -1.452559214  
2010 10  4.000000    23.8959873549      -1.536091765  
2010 10  9.000000    23.8843360510      -1.612071178  
2010 10 14.000000    23.8729581324      -1.678280523  
2010 10 19.000000    23.8620850055      -1.742195919  
2010 10 24.000000    23.8520222758      -1.808893866  
2010 10 29.000000    23.8428654834      -1.872561021  
2010 11  3.000000    23.8345228109      -1.924166443  
2010 11  8.000000    23.8269959539      -1.963512197  
2010 11 13.000000    23.8205131451      -1.998816472  
2010 11 18.000000    23.8153119035      -2.033843597  
2010 11 23.000000    23.8113966112      -2.061880995  
2010 11 28.000000    23.8086219954      -2.075110047  
2010 12  3.000000    23.8069725039      -2.075454828  
2010 12  8.000000    23.8066411071      -2.071546349  
2010 12 13.000000    23.8077818811      -2.065784776  
2010 12 18.000000    23.8103096910      -2.050889671  
2010 12 23.000000    23.8140299334      -2.020577813  
2010 12 28.000000    23.8189040508      -1.978745487  
2011  1  2.000000    23.8250816123      -1.934043714  
2011  1  7.000000    23.8326408291      -1.887415431  
2011  1 12.000000    23.8414253421      -1.831254157  
2011  1 17.000000    23.8512076741      -1.760949856  
2011  1 22.000000    23.8619356349      -1.682074390  
2011  1 27.000000    23.8737250677      -1.602906082  
2011  2  1.000000    23.8865960191      -1.522816606  
2011  2  6.000000    23.9003447256      -1.434101168  
2011  2 11.000000    23.9147293917      -1.333825903  
2011  2 16.000000    23.9297018935      -1.228926502  
2011  2 21.000000    23.9453594582      -1.126885825  
2011  2 26.000000    23.9616808520      -1.025511320  
2011  3  3.000000    23.9784336284      -0.917164617  
2011  3  8.000000    23.9953790428      -0.800611476  
2011  3 13.000000     0.0124889266      -0.683774965  
2011  3 18.000000     0.0298571965      -0.573009351  
2011  3 23.000000     0.0474310522      -0.464614186  
2011  3 28.000000     0.0649598948      -0.351221469  
2011  4  2.000000     0.0822228302      -0.233286172  
2011  4  7.000000     0.0992245531      -0.119375641  
2011  4 12.000000     0.1160654614      -0.014428760  
2011  4 17.000000     0.1326661471       0.086674711  
2011  4 22.000000     0.1487625989       0.190758097  
2011  4 27.000000     0.1641641329       0.295739063  
2011  5  2.000000     0.1789204714       0.392720931  
2011  5  7.000000     0.1931414492       0.478451377  
2011  5 12.000000     0.2067242376       0.559303466  
2011  5 17.000000     0.2193972857       0.641321850  
2011  5 22.000000     0.2310125426       0.720821600  
2011  5 27.000000     0.2416751356       0.788999120  
2011  6  1.000000     0.2515052113       0.844452203  
2011  6  6.000000     0.2603798069       0.894636339  
2011  6 11.000000     0.2680329572       0.944579329  
2011  6 16.000000     0.2743747639       0.989116955  
2011  6 21.000000     0.2795733552       1.019957815  
2011  6 26.000000     0.2837607438       1.037698242  
2011  7  1.000000     0.2868009004       1.050658712  
2011  7  6.000000     0.2884549978       1.062650333  
2011  7 11.000000     0.2887102395       1.067256658  
2011  7 16.000000     0.2878023769       1.057109835  
2011  7 21.000000     0.2858747098       1.034935178  
2011  7 26.000000     0.2827920506       1.009615114  
2011  7 31.000000     0.2783684510       0.983626439  
2011  8  5.000000     0.2726858618       0.949577751  
2011  8 10.000000     0.2660431534       0.901468981  
2011  8 15.000000     0.2585911609       0.844097753  
2011  8 20.000000     0.2502092314       0.786597744  
2011  8 25.000000     0.2407865412       0.729964213  
2011  8 30.000000     0.2305040421       0.666206472  
2011  9  4.000000     0.2197032267       0.590984347  
2011  9  9.000000     0.2085294008       0.510946642  
2011  9 14.000000     0.1968811571       0.435014993  
2011  9 19.000000     0.1847276983       0.362588248  
2011  9 24.000000     0.1723286116       0.285396908  
2011  9 29.000000     0.1600303565       0.200855516  
2011 10  4.000000     0.1479440279       0.117031682  
2011 10  9.000000     0.1359784470       0.042036186  
2011 10 14.000000     0.1241624365      -0.026432337  
2011 10 19.000000     0.1127916715      -0.096705263  
2011 10 24.000000     0.1021688156      -0.169656184  
2011 10 29.000000     0.0923371154      -0.236454235  
2011 11  3.000000     0.0831934203      -0.290350157  
2011 11  8.000000     0.0747934157      -0.335435447  
2011 11 13.000000     0.0674190417      -0.379847558  
2011 11 18.000000     0.0612892193      -0.422948423  
2011 11 23.000000     0.0563578803      -0.455738952  
2011 11 28.000000     0.0524885507      -0.473283455  
2011 12  3.000000     0.0497364688      -0.481344832  
2011 12  8.000000     0.0483370033      -0.487599775  
2011 12 13.000000     0.0484095402      -0.490056209  
2011 12 18.000000     0.0498178519      -0.480007360  
2011 12 23.000000     0.0523875369      -0.454548613  
2011 12 28.000000     0.0561601582      -0.420817042  
2012  1  2.000000     0.0613200869      -0.385717228  
2012  1  7.000000     0.0678946903      -0.345972822  
2012  1 12.000000     0.0756746847      -0.293488395  
2012  1 17.000000     0.0844577574      -0.227378276  
2012  1 22.000000     0.0942760888      -0.155798331  
2012  1 27.000000     0.1052742781      -0.084494064  
2012  2  1.000000     0.1174100340      -0.009010153  
2012  2  6.000000     0.1304235628       0.077978384  
2012  2 11.000000     0.1441022050       0.175419248  
2012  2 16.000000     0.1584813312       0.274575677  
2012  2 21.000000     0.1736811911       0.371138595  
2012  2 26.000000     0.1896122802       0.470662065  
2012  3  2.000000     0.2059842966       0.579547487  
2012  3  7.000000     0.2225927784       0.694960555  
2012  3 12.000000     0.2394888684       0.807984877  
2012  3 17.000000     0.2567806051       0.915945453  
2012  3 22.000000     0.2743447263       1.025378132  
2012  3 27.000000     0.2918767397       1.141595275  
2012  4  1.000000     0.3091953041       1.260160372  
2012  4  6.000000     0.3263796814       1.372339826  
2012  4 11.000000     0.3435284549       1.477237403  
2012  4 16.000000     0.3604914501       1.582158331  
2012  4 21.000000     0.3769615599       1.691202538  
2012  4 26.000000     0.3927954579       1.798474481  
2012  5  1.000000     0.4081088129       1.895826194  
2012  5  6.000000     0.4229898105       1.984182399  
2012  5 11.000000     0.4372620829       2.071379895  
2012  5 16.000000     0.4506287866       2.160152797  
2012  5 21.000000     0.4630001899       2.243388671  
2012  5 26.000000     0.4745333580       2.313867054  
2012  5 31.000000     0.4853054097       2.374359863  
2012  6  5.000000     0.4951144400       2.432959138  
2012  6 10.000000     0.5036908014       2.490902158  
2012  6 15.000000     0.5110158493       2.540167512  
2012  6 20.000000     0.5172928736       2.574807341  
2012  6 25.000000     0.5225862830       2.599429657  
2012  6 30.000000     0.5266789211       2.622081099  
2012  7  5.000000     0.5293479211       2.642447305  
2012  7 10.000000     0.5306658242       2.651945460  
2012  7 15.000000     0.5308840200       2.646296714  
2012  7 20.000000     0.5300559706       2.631825323  
2012  7 25.000000     0.5279665811       2.616267370  
2012  7 30.000000     0.5244647704       2.597740434  
2012  8  4.000000     0.5197271781       2.567560326  
2012  8  9.000000     0.5140506464       2.523415107  
2012  8 14.000000     0.5074804093       2.473173117  
2012  8 19.000000     0.4998234179       2.423931555  
2012  8 24.000000     0.4910212551       2.372333709  
2012  8 29.000000     0.4813513667       2.310029304  
2012  9  3.000000     0.4711420600       2.236839088  
2012  9  8.000000     0.4604266166       2.161852418  
2012  9 13.000000     0.4490475047       2.091148692  
2012  9 18.000000     0.4370405445       2.020003506  
2012  9 23.000000     0.4247580269       1.940736589  
2012  9 28.000000     0.4125255590       1.855278991  
2012 10  3.000000     0.4003511327       1.773371592  
2012 10  8.000000     0.3881071533       1.699689130  
2012 10 13.000000     0.3759017297       1.628193131  
2012 10 18.000000     0.3641112824       1.552113750  
2012 10 23.000000     0.3530123802       1.475171699  
2012 10 28.000000     0.3425649131       1.407116148  
2012 11  2.000000     0.3326509257       1.350787869  
2012 11  7.000000     0.3234112510       1.298970945  
2012 11 12.000000     0.3151917860       1.245908508  
2012 11 17.000000     0.3081776881       1.196677237  
2012 11 22.000000     0.3022610956       1.160405456  
2012 11 27.000000     0.2973140593       1.137838485  
2012 12  2.000000     0.2934732855       1.120806093  
2012 12  7.000000     0.2910188176       1.104666971  
2012 12 12.000000     0.2900246695       1.095472040  
2012 12 17.000000     0.2903098694       1.101237309  
2012 12 22.000000     0.2917299919       1.120615912  
2012 12 27.000000     0.2944028434       1.144801458  
2013  1  1.000000     0.2985325508       1.170469612  
2013  1  6.000000     0.3040901103       1.204331482  
2013  1 11.000000     0.3108311814       1.253037114  
2013  1 16.000000     0.3186029611       1.313294126  
2013  1 21.000000     0.3275101056       1.376147332  
2013  1 26.000000     0.3376920333       1.439728030  
2013  1 31.000000     0.3490378075       1.511234838  
2013  2  5.000000     0.3612594275       1.595810886  
2013  2 10.000000     0.3742098952       1.688479555  
2013  2 15.000000     0.3879963283       1.780613743  
2013  2 20.000000     0.4027130006       1.871924153  
2013  2 25.000000     0.4181878056       1.969932513  
2013  3  2.000000     0.4341091787       2.078204552  
2013  3  7.000000     0.4503506717       2.190378652  
2013  3 12.000000     0.4670367621       2.298537977  
2013  3 17.000000     0.4842322405       2.404087143  
2013  3 22.000000     0.5017200020       2.514647124  
2013  3 27.000000     0.5191800586       2.632187796  
2013  4  1.000000     0.5365202483       2.749217798  
2013  4  6.000000     0.5538905479       2.858902989  
2013  4 11.000000     0.5713343256       2.964315033  
2013  4 16.000000     0.5885998447       3.072984106  
2013  4 21.000000     0.6053723642       3.185217510  
2013  4 26.000000     0.6216054358       3.292712960  
2013  5  1.000000     0.6374762070       3.389985337  
2013  5  6.000000     0.6530084841       3.481704011  
2013  5 11.000000     0.6679230038       3.575074057  
2013  5 16.000000     0.6819261025       3.668715961  
2013  5 21.000000     0.6950281411       3.753843099  
2013  5 26.000000     0.7074320822       3.826550561  
2013  5 31.000000     0.7191385547       3.892994851  
2013  6  5.000000     0.7298522976       3.959777234  
2013  6 10.000000     0.7393192387       4.023892458  
2013  6 15.000000     0.7476201173       4.076402004  
2013  6 20.000000     0.7549809604       4.115238198  
2013  6 25.000000     0.7613761927       4.147830872  
2013  6 30.000000     0.7665114691       4.179961654  
2013  7  5.000000     0.7701981371       4.207080022  
2013  7 10.000000     0.7725996457       4.220557998  
2013  7 15.000000     0.7739624759       4.220334040  
2013  7 20.000000     0.7742380895       4.214887225  
2013  7 25.000000     0.7731541252       4.208949252  
2013  7 30.000000     0.7706178284       4.196650726  
2013  8  4.000000     0.7668825107       4.170139137  
2013  8  9.000000     0.7622111618       4.131479861  
2013  8 14.000000     0.7565393028       4.089908677  
2013  8 19.000000     0.7496407511       4.048894204  
2013  8 24.000000     0.7415392548       4.001555533  
2013  8 29.000000     0.7325766064       3.941242119  
2013  9  3.000000     0.7230179216       3.872159569  
2013  9  8.000000     0.7127888827       3.803861813  
2013  9 13.000000     0.7017246998       3.738382310  
2013  9 18.000000     0.6899651227       3.668095699  
2013  9 23.000000     0.6779161573       3.587917320  
2013  9 28.000000     0.6658196116       3.503917926  
2013 10  3.000000     0.6535849549       3.425457571  
2013 10  8.000000     0.6411049028       3.352884608  
2013 10 13.000000     0.6286060109       3.278099210  
2013 10 18.000000     0.6165091937       3.197692901  
2013 10 23.000000     0.6049988207       3.119123371  
2013 10 28.000000     0.5939489540       3.050926080  
2013 11  2.000000     0.5832870976       2.991566088  
2013 11  7.000000     0.5732759729       2.932668722  
2013 11 12.000000     0.5642963078       2.872425929  
2013 11 17.000000     0.5564409841       2.819119079  
2013 11 22.000000     0.5495315348       2.779852560  
2013 11 27.000000     0.5435011248       2.751149762  
2013 12  2.000000     0.5386038529       2.724570008  
2013 12  7.000000     0.5351381023       2.699811430  
2013 12 12.000000     0.5330913518       2.685425681  
2013 12 17.000000     0.5322275315       2.686735980  
2013 12 22.000000     0.5324708631       2.698416669  
2013 12 27.000000     0.5340435954       2.712320020  
2014  1  1.000000     0.5371483463       2.729540250  
2014  1  6.000000     0.5416746314       2.758535854  
2014  1 11.000000     0.5473409720       2.802703765  
2014  1 16.000000     0.5540666991       2.855190074  
2014  1 21.000000     0.5620415918       2.908518713  
2014  1 26.000000     0.5713838865       2.965148484  
2014  1 31.000000     0.5819025123       3.033191064  
2014  2  5.000000     0.5932939756       3.114134970  
2014  2 10.000000     0.6054874296       3.200026717  
2014  2 15.000000     0.6186539315       3.284406561  
