v15.04    Планета: Уран  (INPOP13C)
          Спутник: U1 Ариэль  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2014  3 12.000000     0.6957057859       3.785496129  
2014  3 17.000000     0.7126174424       3.894035201  
2014  3 22.000000     0.7298295509       4.004111332  
2014  3 27.000000     0.7472585280       4.115180148  
2014  4  1.000000     0.7648149319       4.226662199  
2014  4  6.000000     0.7824019819       4.337950027  
2014  4 11.000000     0.7999260550       4.448468028  
2014  4 16.000000     0.8173010726       4.557673021  
2014  4 21.000000     0.8344463956       4.665061929  
2014  4 26.000000     0.8512812147       4.770119337  
2014  5  1.000000     0.8677174289       4.872316092  
2014  5  6.000000     0.8836664061       4.971117326  
2014  5 11.000000     0.8990472965       5.066048183  
2014  5 16.000000     0.9137875370       5.156672134  
2014  5 21.000000     0.9278196998       5.242574444  
2014  5 26.000000     0.9410723769       5.323344077  
2014  5 31.000000     0.9534706472       5.398542040  
2014  6  5.000000     0.9649458611       5.467788842  
2014  6 10.000000     0.9754398294       5.530751703  
2014  6 15.000000     0.9849037025       5.587149858  
2014  6 20.000000     0.9932913648       5.636722663  
2014  6 25.000000     1.0005526958       5.679195727  
2014  6 30.000000     1.0066416259       5.714328016  
2014  7  5.000000     1.0115243102       5.741943858  
2014  7 10.000000     1.0151797957       5.761942820  
2014  7 15.000000     1.0175968213       5.774267191  
2014  7 20.000000     1.0187647697       5.778879763  
2014  7 25.000000     1.0186740250       5.775756076  
2014  7 30.000000     1.0173281988       5.764944215  
2014  8  4.000000     1.0147465066       5.746590219  
2014  8  9.000000     1.0109630124       5.720901890  
2014  8 14.000000     1.0060191632       5.688148484  
2014  8 19.000000     0.9999564424       5.648606057  
2014  8 24.000000     0.9928261076       5.602608493  
2014  8 29.000000     0.9846962013       5.550595558  
2014  9  3.000000     0.9756512531       5.493082684  
2014  9  8.000000     0.9657865822       5.430662368  
2014  9 13.000000     0.9551992397       5.363933843  
2014  9 18.000000     0.9439869880       5.293525970  
2014  9 23.000000     0.9322605993       5.220131158  
2014  9 28.000000     0.9201442390       5.144522995  
2014 10  3.000000     0.9077712800       5.067525779  
2014 10  8.000000     0.8952755017       4.989959249  
2014 10 13.000000     0.8827828345       4.912626316  
2014 10 18.000000     0.8704198695       4.836320847  
2014 10 23.000000     0.8583199151       4.761885225  
2014 10 28.000000     0.8466198148       4.690159279  
2014 11  2.000000     0.8354525576       4.621966266  
2014 11  7.000000     0.8249371077       4.558047116  
2014 11 12.000000     0.8151795646       4.499072233  
2014 11 17.000000     0.8062830565       4.445696805  
2014 11 22.000000     0.7983487914       4.398533545  
2014 11 27.000000     0.7914708255       4.358158883  
2014 12  2.000000     0.7857272775       4.325042645  
2014 12  7.000000     0.7811758286       4.299539801  
2014 12 12.000000     0.7778625671       4.281939046  
2014 12 17.000000     0.7758293300       4.272480096  
2014 12 22.000000     0.7751105537       4.271353523  
2014 12 27.000000     0.7757286587       4.278666330  
2015  1  1.000000     0.7776854578       4.294408453  
2015  1  6.000000     0.7809670711       4.318477450  
2015  1 11.000000     0.7855548682       4.350735048  
2015  1 16.000000     0.7914265136       4.391007928  
