v15.04    Планета: Уран  (INPOP13C)
          Спутник: U3 Титани  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1961  2 23.000000     9.7614772725      14.291704629  
1961  3  5.000000     9.7346570439      14.425286974  
1961  3 15.000000     9.7103078240      14.552017131  
1961  3 25.000000     9.6893070622      14.662770517  
1961  4  4.000000     9.6724787464      14.746670933  
1961  4 14.000000     9.6605886082      14.796820525  
1961  4 24.000000     9.6543560160      14.813185540  
1961  5  4.000000     9.6541500239      14.801221774  
1961  5 14.000000     9.6599437675      14.766489610  
1961  5 24.000000     9.6714563257      14.709804398  
1961  6  3.000000     9.6882149386      14.627521173  
1961  6 13.000000     9.7098180802      14.515229110  
1961  6 23.000000     9.7359464871      14.372714598  
1961  7  3.000000     9.7661773431      14.206045589  
1961  7 13.000000     9.7999788874      14.024413047  
1961  7 23.000000     9.8365929713      13.835171847  
1961  8  2.000000     9.8751108616      13.640536504  
1961  8 12.000000     9.9147250817      13.438384882  
1961  8 22.000000     9.9547014036      13.227148081  
1961  9  1.000000     9.9944149162      13.009978594  
1961  9 11.000000    10.0332963129      12.795314432  
1961  9 21.000000    10.0706044301      12.593673700  
1961 10  1.000000    10.1055102399      12.412123103  
1961 10 11.000000    10.1371673190      12.251974978  
1961 10 21.000000    10.1647621581      12.111231151  
1961 10 31.000000    10.1877250727      11.988822216  
1961 11 10.000000    10.2056468762      11.888644184  
1961 11 20.000000    10.2181858619      11.819029698  
1961 11 30.000000    10.2250910544      11.787549632  
1961 12 10.000000    10.2260865929      11.796446028  
1961 12 20.000000    10.2210403767      11.841048849  
1961 12 30.000000    10.2101572681      11.912819833  
1962  1  9.000000    10.1939427931      12.005203229  
1962  1 19.000000    10.1732769927      12.116267956  
1962  1 29.000000    10.1492248703      12.246973560  
1962  2  8.000000    10.1228167968      12.396487671  
1962  2 18.000000    10.0951350428      12.557483224  
1962  2 28.000000    10.0672712634      12.717240020  
1962  3 10.000000    10.0404153984      12.862673487  
1962  3 20.000000    10.0159180786      12.985489070  
1962  3 30.000000     9.9949909314      13.084609656  
1962  4  9.000000     9.9785912555      13.162703367  
1962  4 19.000000     9.9673368577      13.220441590  
1962  4 29.000000     9.9614607760      13.253805285  
1962  5  9.000000     9.9611026606      13.255472357  
1962  5 19.000000     9.9663597755      13.219888322  
1962  5 29.000000     9.9772409761      13.147737534  
1962  6  8.000000     9.9936745378      13.045472881  
1962  6 18.000000    10.0152898036      12.921331911  
1962  6 28.000000    10.0414664723      12.780053660  
1962  7  8.000000    10.0715217942      12.620862445  
1962  7 18.000000    10.1047311813      12.440707610  
1962  7 28.000000    10.1404948770      12.238901789  
1962  8  7.000000    10.1782928913      12.020342589  
1962  8 17.000000    10.2174883511      11.794747476  
1962  8 27.000000    10.2573685675      11.571473822  
1962  9  6.000000    10.2970877479      11.355348510  
1962  9 16.000000    10.3357331414      11.146305169  
1962  9 26.000000    10.3725359684      10.942490652  
1962 10  6.000000    10.4068048348      10.745573857  
1962 10 16.000000    10.4379331187      10.562851398  
1962 10 26.000000    10.4653751080      10.404505679  
1962 11  5.000000    10.4884696496      10.279011745  
1962 11 15.000000    10.5065656430      10.188808179  
1962 11 25.000000    10.5191204437      10.130773498  
1962 12  5.000000    10.5257381529      10.101025092  
1962 12 15.000000    10.5263635338      10.098876747  
1962 12 25.000000    10.5211824791      10.128176527  
1963  1  4.000000    10.5105133962      10.193919368  
1963  1 14.000000    10.4948436273      10.296133209  
1963  1 24.000000    10.4747198798      10.427665452  
1963  2  3.000000    10.4509020662      10.576422921  
1963  2 13.000000    10.4244845744      10.730407650  
1963  2 23.000000    10.3967421194      10.883068950  
1963  3  5.000000    10.3690914743      11.032944671  
1963  3 15.000000    10.3428508028      11.179299094  
1963  3 25.000000    10.3190513632      11.317648034  
1963  4  4.000000    10.2985914789      11.438123712  
1963  4 14.000000    10.2822281499      11.529484345  
1963  4 24.000000    10.2706461182      11.584754178  
1963  5  4.000000    10.2644948123      11.603833266  
1963  5 14.000000    10.2641249250      11.592111003  
1963  5 24.000000    10.2695860751      11.554886538  
1963  6  3.000000    10.2806720679      11.492724633  
1963  6 13.000000    10.2969470633      11.402029197  
1963  6 23.000000    10.3180076505      11.278672701  
1963  7  3.000000    10.3434782154      11.122958189  
1963  7 13.000000    10.3729174789      10.941525676  
1963  7 23.000000    10.4058385865      10.743846826  
1963  8  2.000000    10.4415524683      10.537432216  
1963  8 12.000000    10.4792389437      10.324627279  
1963  8 22.000000    10.5181166228      10.103545764  
1963  9  1.000000    10.5574086320       9.873220572  
1963  9 11.000000    10.5964493770       9.637467471  
1963  9 21.000000    10.6346372803       9.405234023  
1963 10  1.000000    10.6712598921       9.187345242  
1963 10 11.000000    10.7055700342       8.990848300  
1963 10 21.000000    10.7367614951       8.817038996  
